"Profession","Dept.group","Organisation","Dept.IfG","Whitehall","Managed","Year","value","Category","Note_profgroup"
"Communications and Marketing","Health","Food Standards Agency","DH","Non-Whitehall","No",2013,40,"Communications & marketing",""
"Communications and Marketing","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2013,20,"Communications & marketing",""
"Communications and Marketing","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Health","Public Health England","DH","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2013,190,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2013,70,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Security and Intelligence Services","Security and Intelligence Services","FCO","Non-Whitehall","No",2013,40,"Communications & marketing",""
"Communications and Marketing","Foreign and Commonwealth Office","Wilton Park Executive Agency","FCO","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Foreign and Commonwealth Office","Foreign and Commonwealth Office Services","FCO","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Government Equalities Office","Government Equalities Office","GEO","Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","UK Statistics Authority","Census Field","CO","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","Debt Management Office","HMT","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","Government Actuary's Department","HMT","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","HM Revenue and Customs","HM Revenue and Customs","HMRC","Non-Whitehall","Yes",2013,170,"Communications & marketing",""
"Communications and Marketing","HM Treasury","HM Treasury","HMT","Whitehall","Yes",2013,10,"Communications & marketing",""
"Communications and Marketing","HM Treasury","Office for Budget Responsibility","HMT","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","HM Treasury","Asset Protection Agency","HMT","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","National Savings and Investments","HMT","Non-Whitehall","No",2013,30,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","Office of Government Commerce","HMT","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","OGC Buying Solutions","HMT","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","Royal Mint","HMT","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","UK Statistics Authority","UK Statistics Authority","CO","Non-Whitehall","No",2013,40,"Communications & marketing",""
"Communications and Marketing","HM Revenue and Customs","Valuation Office","HMRC","Non-Whitehall","Yes",2013,10,"Communications & marketing",""
"Communications and Marketing","Home Office","Criminal Records Bureau","HO","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Home Office","Home Office (excl agencies)","HO","Non-Whitehall","Yes",2013,190,"Communications & marketing",""
"Communications and Marketing","Home Office","Identity and Passport Service","HO","Non-Whitehall","No",2013,70,"Communications & marketing",""
"Communications and Marketing","Home Office","UK Border Agency","HO","Non-Whitehall","Yes",2013,180,"Communications & marketing",""
"Communications and Marketing","Home Office","National Fraud Authority","HO","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Defence","Defence Science and Technology Laboratory","MoD","Non-Whitehall","Yes",2013,10,"Communications & marketing",""
"Communications and Marketing","Defence","Defence Support Group","MoD","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Defence","Meteorological Office","MoD","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Defence","Royal Fleet Auxiliary","MoD","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Defence","Ministry of Defence","MoD","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Defence","UK Hydrographic Office","MoD","Non-Whitehall","Yes",2013,100,"Communications & marketing",""
"Communications and Marketing","Justice","Her Majesty's Courts and Tribunals Service","MoJ","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Justice","HM Courts Service","MoJ","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Justice","Land Registry","MoJ","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Justice","Ministry of Justice (excl agencies)","MoJ","Whitehall","Yes",2013,80,"Communications & marketing",""
"Communications and Marketing","Justice","National Archives","MoJ","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Justice","National Offender Management Service","MoJ","Non-Whitehall","Yes",2013,20,"Communications & marketing",""
"Communications and Marketing","Justice","Scotland Office (incl. Office of the Advocate General for Scotland)","MoJ","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Justice","The Office of the Public Guardian","MoJ","Non-Whitehall","Yes",2013,10,"Communications & marketing",""
"Communications and Marketing","Justice","Tribunals Service","MoJ","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Justice","UK Supreme Court","MoJ","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Justice","Wales Office","MoJ","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Justice","Legal Aid Agency","MoJ","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Northern Ireland Office","Northern Ireland Office","NIO","Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Crown Office and Procurator Fiscal","Scot Gov","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Disclosure Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Fisheries Research Services","Scot Gov","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","General Register Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","GROS Census Field","Scot Gov","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Historic Scotland","Scot Gov","Non-Whitehall","No",2013,30,"Communications & marketing",""
"Communications and Marketing","Scottish Government","HM Inspectorate of Education","Scot Gov","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Mental Health Tribunal Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","National Records of Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","National Archive for Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Office for the Scottish Charity Regulator","Scot Gov","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Accountant in Bankruptcy","Scot Gov","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Registers of Scotland","Scot Gov","Non-Whitehall","No",2013,30,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Court Service","Scot Gov","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Fisheries Protection Agency","Scot Gov","Non-Whitehall","No",2013,NA,"Communications & marketing",""
